id,item_name,owner,category,status,tag,date_added,description
1,Sriracha Hot Sauce,Alex,Condiment,available,free-to-use,2024-01-15,"Half full bottle"
2,Sesame Oil,Jordan,Cooking Oil,available,free-to-borrow,2024-01-20,"Small bottle, barely used"
3,Fresh Scallions,Sam,Produce,available,free-to-take,2024-01-22,"3 scallions left"
4,Parmesan Cheese,Alex,Dairy,available,free-to-use,2024-01-18,"Block of cheese, help yourself"
5,Soy Sauce,Jordan,Condiment,available,free-to-use,2024-01-10,"Large bottle"
6,Garlic Powder,Sam,Spice,available,free-to-borrow,2024-01-25,"Nearly full container"
7,Rice Vinegar,Taylor,Condiment,available,free-to-borrow,2024-01-12,"For cooking only"
8,Fresh Basil,Taylor,Herb,available,free-to-take,2024-01-24,"Use before it wilts!"
9,Coconut Milk,Alex,Pantry,available,free-to-use,2024-01-19,"1 can left"
10,Chili Oil,Jordan,Condiment,available,free-to-use,2024-01-16,"Homemade, spicy!"
11,Maple Syrup,Sam,Sweetener,available,free-to-borrow,2024-01-14,"Real maple syrup"
12,Vanilla Extract,Taylor,Baking,available,free-to-borrow,2024-01-21,"Pure vanilla"
